Product Name
Bio-cure 1kg
Biocure 1kg
Biocure-b 1kg
Fytovita 500ml
Fytovita 1 Lt
Kurax 500ml
Kurax 1 Lt
Microfood Paddybasal 10kg
Modulin 500gms
Modulin 1kg
Nimbicidine 10000ppm 250ml
Nimbicidine 10000ppm 500ml
Nimbicidine 10000ppm 1 Lt
Nimbicidine 3000ppm 500ml
Nimbicidine 3000ppm 1 Lt
Nimbicidine 300ppm 500ml
Nimbicidine 300ppm 1 Lt
Pepto 500ml
Pepto 1 Lt
Wektocon 500ml
